team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Scotland,Scotland,20,29.1,44.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,20,27.9,55.7,3,33,270,3.0,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67,29,7,24.1,9.67,2.33,0.03,0.14,48,13,27.1,16.0,4.33,0.08,0.31,90,100,84,18,15,14,30,1.0,1,4,-3,-1.0,90,100,84,21,12,13,32,2.0,4,1,3,1.0,0,42,39,2,50,17,25,,,0,0,42,41,4,45,24,18,,,0,3,3,270,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,,3,3,270,1,0.33,7,6,85.7,2,0,1,2,66.7,0,0,0,0,
Senegal,Senegal,22,28.5,55.3,4,44,390,4.3,10,9,19,10,0,0,3,0,2.31,2.08,4.38,2.31,4.38,22,27.9,44.8,4,44,390,4.3,9,6,15,8,1,1,4,1,2.08,1.38,3.46,1.85,3.23,69,23,33.3,15.92,5.31,0.14,0.43,49,21,42.9,11.31,4.85,0.16,0.38,98,100,84,23,21,27,37,0.75,10,9,1,0.23,98,100,84,25,18,39,41,2.25,9,10,-1,-0.23,0,36,48,10,79,31,29,,,0,0,51,34,3,51,30,42,,,0,4,4,390,9,2.08,21,12,57.1,1,0,3,1,25.0,1,1,0,0,0.0,4,4,390,10,2.31,24,14,58.3,3,0,1,0,0.0,0,0,0,0,
South Africa,South Africa,19,26.7,48.0,4,44,360,4.0,2,1,3,1,1,1,5,2,0.5,0.25,0.75,0.25,0.5,19,27.7,52.0,4,44,360,4.0,4,3,7,4,0,0,5,1,1.0,0.75,1.75,1.0,1.75,39,11,28.2,9.75,2.75,0.03,0.09,50,17,34.0,12.5,4.25,0.08,0.24,90,100,83,30,13,21,42,1.0,2,4,-2,-0.5,90,100,83,23,20,26,38,1.75,4,2,2,0.5,0,38,46,8,41,47,38,,,0,0,49,38,3,73,29,34,,,0,4,4,360,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,,4,4,360,2,0.5,11,9,81.8,2,1,1,2,50.0,1,1,0,0,0.0
Spain,Spain,22,26.3,64.1,8,88,750,8.3,13,10,23,12,1,1,6,0,1.56,1.2,2.76,1.44,2.64,22,28.9,35.9,8,88,750,8.3,1,1,2,1,0,0,20,2,0.12,0.12,0.24,0.12,0.24,140,54,38.6,16.8,6.48,0.09,0.22,46,10,21.7,5.52,1.2,0.02,0.1,94,100,84,50,38,22,82,2.75,14,1,13,1.56,94,100,84,46,40,32,77,0.13,1,14,-13,-1.56,0,101,89,21,165,64,88,,,0,1,95,97,24,89,90,82,,,1,8,8,750,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,,8,8,750,14,1.68,54,40,74.1,0,1,7,1,12.5,1,1,0,0,0.0
Sweden,Sweden,22,26.7,46.3,4,44,360,4.0,7,6,13,7,0,0,5,0,1.75,1.5,3.25,1.75,3.25,22,27.3,53.8,4,44,360,4.0,10,10,20,10,0,0,2,0,2.5,2.5,5.0,2.5,5.0,48,23,47.9,12.0,5.75,0.15,0.3,49,24,49.0,12.25,6.0,0.2,0.42,90,100,82,24,20,17,39,1.0,7,10,-3,-0.75,90,100,82,24,20,20,38,1.75,10,7,3,0.75,0,43,49,9,59,31,30,,,0,0,51,39,15,57,22,34,,,0,4,4,360,10,2.5,24,14,58.3,1,1,2,0,0.0,0,0,0,0,,4,4,360,7,1.75,22,15,68.2,2,1,1,1,25.0,0,0,0,0,
Switzerland,Switzerland,23,29.4,54.0,6,66,600,6.7,10,6,16,8,2,2,8,1,1.5,0.9,2.4,1.2,2.1,23,28.5,46.0,6,66,600,6.7,6,4,10,6,0,0,13,1,0.9,0.6,1.5,0.9,1.5,74,30,40.5,11.1,4.5,0.11,0.27,70,26,37.1,10.5,3.9,0.09,0.23,100,100,89,33,32,20,51,1.83,10,6,4,0.6,100,100,89,34,31,25,55,0.83,6,10,-4,-0.6,1,87,89,13,111,52,52,,,0,0,90,81,14,92,68,43,,,0,6,6,600,6,0.9,26,20,76.9,4,1,1,2,33.3,0,0,0,0,,6,6,600,10,1.5,28,18,64.3,1,1,4,1,16.7,2,2,0,0,0.0
Tunisia,Tunisia,20,27.4,39.3,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,20,27.4,60.7,3,33,270,3.0,11,10,21,11,0,0,0,0,3.67,3.33,7.0,3.67,7.0,18,6,33.3,6.0,2.0,0.11,0.33,44,19,43.2,14.67,6.33,0.25,0.58,90,100,82,18,15,18,28,0.0,2,12,-10,-3.33,90,100,82,18,15,14,28,3.0,12,2,10,3.33,0,27,32,9,36,27,36,,,1,0,35,27,5,51,24,25,,,0,3,3,270,12,4.0,18,6,33.3,0,0,3,0,0.0,0,0,0,0,,3,3,270,2,0.67,6,4,66.7,3,0,0,1,33.3,0,0,0,0,
Türkiye,Turkey,23,26.6,66.3,3,33,270,3.0,3,3,6,3,0,0,2,0,1.0,1.0,2.0,1.0,2.0,23,26.1,33.7,3,33,270,3.0,5,3,8,5,0,0,2,1,1.67,1.0,2.67,1.67,2.67,71,16,22.5,23.67,5.33,0.04,0.19,34,13,38.2,11.33,4.33,0.15,0.38,90,100,82,18,15,17,30,1.0,3,5,-2,-0.67,90,100,82,17,15,16,29,2.0,5,3,2,0.67,0,31,38,7,79,18,39,,,0,0,40,30,9,38,26,29,,,0,3,3,270,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,,3,3,270,3,1.0,16,13,81.3,2,0,1,2,66.7,0,0,0,0,
United States,United States,24,26.7,56.8,5,55,450,5.0,9,4,13,9,0,0,7,1,1.8,0.8,2.6,1.8,2.6,24,27.0,43.2,5,55,450,5.0,8,8,16,8,0,0,11,0,1.6,1.6,3.2,1.6,3.2,59,19,32.2,11.8,3.8,0.15,0.47,48,16,33.3,9.6,3.2,0.17,0.5,90,100,84,32,22,15,48,1.8,11,8,3,0.6,90,100,84,30,25,23,50,1.2,8,11,-3,-0.6,0,56,66,11,74,60,42,,,0,0,68,53,4,62,41,69,,,2,5,5,450,8,1.6,16,8,50.0,3,0,2,2,40.0,0,0,0,0,,5,5,450,11,2.2,21,10,47.6,2,0,3,0,0.0,0,0,0,0,
Uruguay,Uruguay,17,28.6,55.0,3,33,270,3.0,3,1,4,3,0,0,5,1,1.0,0.33,1.33,1.0,1.33,17,28.7,45.0,3,33,270,3.0,4,1,5,4,0,0,4,0,1.33,0.33,1.67,1.33,1.67,49,13,26.5,16.33,4.33,0.06,0.23,25,8,32.0,8.33,2.67,0.16,0.5,90,100,80,20,12,27,29,0.67,3,4,-1,-0.33,90,100,80,18,15,20,30,1.67,4,3,1,0.33,0,31,29,14,92,32,25,,,0,0,29,30,2,26,29,34,,,0,3,3,270,4,1.33,8,4,50.0,0,2,1,0,0.0,0,0,0,0,,3,3,270,3,1.0,14,10,78.6,1,2,0,1,33.3,0,0,0,0,
Uzbekistan,Uzbekistan,23,26.9,38.3,3,33,270,3.0,2,1,3,2,0,0,4,0,0.67,0.33,1.0,0.67,1.0,23,28.8,61.7,3,33,270,3.0,10,6,16,9,1,1,5,0,3.33,2.0,5.33,3.0,5.0,18,5,27.8,6.0,1.67,0.11,0.4,51,17,33.3,17.0,5.67,0.18,0.53,90,100,80,18,15,22,30,0.0,2,11,-9,-3.0,90,100,80,18,15,19,30,3.0,11,2,9,3.0,0,45,29,3,37,33,39,,,1,0,31,43,8,58,18,28,,,0,3,3,270,11,3.67,17,6,35.3,0,0,3,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,6,4,66.7,3,0,0,1,33.3,0,0,0,0,
