team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
England,England,24,26.5,54.1,8,88,750,8.3,20,14,34,17,3,3,8,1,2.4,1.68,4.08,2.04,3.72,24,27.8,45.9,8,88,750,8.3,12,10,22,11,1,1,10,0,1.44,1.2,2.64,1.32,2.52,118,53,44.9,14.16,6.36,0.14,0.32,99,33,33.3,11.88,3.96,0.11,0.33,94,100,84,48,39,20,75,2.38,20,12,8,0.96,94,100,84,49,40,24,80,0.5,12,20,-8,-0.96,0,81,116,15,163,51,77,,,0,0,117,76,19,133,53,80,,,0,8,8,750,12,1.44,32,20,62.5,6,1,1,2,25.0,1,1,0,0,0.0,8,8,750,20,2.4,52,32,61.5,1,1,6,1,12.5,3,3,0,0,0.0
France,France,22,26.9,55.9,8,88,720,8.0,20,18,38,19,1,2,6,0,2.5,2.25,4.75,2.37,4.62,22,26.7,44.1,8,88,720,8.0,10,6,16,8,2,3,4,0,1.25,0.75,2.0,1.0,1.75,139,59,42.4,17.37,7.37,0.14,0.32,67,23,34.3,8.37,2.87,0.12,0.35,90,100,83,55,33,20,87,2.25,20,10,10,1.25,90,100,83,49,39,19,79,0.75,10,20,-10,-1.25,0,84,73,14,109,65,77,,,0,0,78,80,13,74,82,89,,,0,8,8,720,10,1.25,22,12,54.5,6,0,2,4,50.0,3,2,1,0,33.3,8,8,720,20,2.5,58,38,65.5,2,0,6,1,12.5,2,1,1,0,50.0
Germany,Germany,23,28.1,65.0,4,44,390,4.3,11,10,21,10,1,1,3,0,2.54,2.31,4.85,2.31,4.62,23,27.2,35.0,4,44,390,4.3,5,3,8,5,0,0,6,0,1.15,0.69,1.85,1.15,1.85,74,28,37.8,17.08,6.46,0.14,0.36,31,10,32.3,7.15,2.31,0.16,0.5,98,100,84,23,21,29,36,1.75,11,5,6,1.38,98,100,84,25,19,23,40,1.0,5,11,-6,-1.38,0,51,42,4,105,25,53,,,0,0,45,50,3,49,54,55,,,0,4,4,390,5,1.15,10,5,50.0,2,0,2,0,0.0,0,0,0,0,,4,4,390,11,2.54,28,17,60.7,2,0,2,0,0.0,1,1,0,0,0.0
Ghana,Ghana,22,27.4,36.3,4,44,360,4.0,2,1,3,2,0,0,6,0,0.5,0.25,0.75,0.5,0.75,22,28.7,63.8,4,44,360,4.0,3,3,6,3,0,0,6,0,0.75,0.75,1.5,0.75,1.5,24,4,16.7,6.0,1.0,0.08,0.5,58,19,32.8,14.5,4.75,0.05,0.16,90,100,79,26,19,25,40,1.0,2,3,-1,-0.25,90,100,79,27,17,21,43,1.75,3,2,1,0.25,0,56,47,8,48,31,40,,,0,0,48,56,6,81,15,34,,,0,4,4,360,3,0.75,19,16,84.2,1,1,2,2,50.0,0,0,0,0,,4,4,360,2,0.5,4,2,50.0,2,1,1,2,50.0,0,0,0,0,
Haiti,Haiti,18,28.6,42.7,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,18,28.2,57.3,3,33,270,3.0,8,5,13,8,0,0,4,0,2.67,1.67,4.33,2.67,4.33,31,7,22.6,10.33,2.33,0.03,0.14,39,18,46.2,13.0,6.0,0.21,0.44,90,100,82,20,13,21,32,0.0,2,8,-6,-2.0,90,100,82,18,15,18,29,3.0,8,2,6,2.0,0,55,44,7,37,29,28,,,0,0,44,53,14,45,23,26,,,1,3,3,270,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,,3,3,270,2,0.67,8,6,75.0,3,0,0,2,66.7,0,0,0,0,
IR Iran,Iran,20,31.7,39.0,3,33,270,3.0,3,1,4,3,0,1,6,0,1.0,0.33,1.33,1.0,1.33,20,29.3,61.0,3,33,270,3.0,3,3,6,3,0,0,4,1,1.0,1.0,2.0,1.0,2.0,37,11,29.7,12.33,3.67,0.08,0.27,52,18,34.6,17.33,6.0,0.06,0.17,90,100,81,21,12,25,33,1.0,3,3,0,0.0,90,100,81,17,15,27,25,1.0,3,3,0,0.0,0,35,23,9,37,32,36,,,0,0,26,33,3,59,23,27,,,0,3,3,270,3,1.0,18,15,83.3,0,3,0,1,33.3,0,0,0,0,,3,3,270,3,1.0,9,6,66.7,0,3,0,1,33.3,1,0,1,0,100.0
Iraq,Iraq,25,26.4,38.3,3,33,270,3.0,1,1,2,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67,25,27.7,61.7,3,33,270,3.0,11,10,21,11,0,0,2,0,3.67,3.33,7.0,3.67,7.0,21,2,9.5,7.0,0.67,0.05,0.5,59,22,37.3,19.67,7.33,0.19,0.5,90,100,73,17,15,33,30,0.0,1,12,-11,-3.67,90,100,73,18,15,19,29,3.0,12,1,11,3.67,0,27,31,1,28,23,35,,,1,0,31,25,2,56,10,28,,,0,3,3,270,12,4.0,23,11,47.8,0,0,3,0,0.0,0,0,0,0,,3,3,270,1,0.33,2,1,50.0,3,0,0,2,66.7,0,0,0,0,
Japan,Japan,24,27.5,46.3,4,44,360,4.0,8,7,15,8,0,0,4,0,2.0,1.75,3.75,2.0,3.75,24,27.3,53.8,4,44,360,4.0,5,5,10,5,0,0,7,0,1.25,1.25,2.5,1.25,2.5,34,13,38.2,8.5,3.25,0.24,0.62,42,18,42.9,10.5,4.5,0.12,0.28,90,100,82,24,20,18,37,1.25,8,5,3,0.75,90,100,82,25,19,19,40,1.25,5,8,-3,-0.75,0,55,30,4,57,19,32,,,0,0,30,50,5,87,35,32,,,0,4,4,360,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,0,,4,4,360,8,2.0,13,5,38.5,1,2,1,0,0.0,0,0,0,0,
Jordan,Jordan,20,28.2,30.7,3,33,270,3.0,3,3,6,3,0,0,4,0,1.0,1.0,2.0,1.0,2.0,20,28.5,69.3,3,33,270,3.0,7,2,9,5,2,2,2,0,2.33,0.67,3.0,1.67,2.33,24,9,37.5,8.0,3.0,0.13,0.33,40,16,40.0,13.33,5.33,0.13,0.31,90,100,85,18,15,12,30,0.0,3,8,-5,-1.67,90,100,85,18,15,26,29,3.0,8,3,5,1.67,0,31,21,3,27,33,31,,,1,0,25,29,6,43,37,31,,,0,3,3,270,8,2.67,16,8,50.0,0,0,3,0,0.0,2,2,0,0,0.0,3,3,270,3,1.0,9,6,66.7,3,0,0,0,0.0,0,0,0,0,
Korea Republic,Korea Republic,20,28.2,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,20,27.3,37.0,3,33,270,3.0,3,2,5,3,0,0,1,0,1.0,0.67,1.67,1.0,1.67,32,11,34.4,10.67,3.67,0.06,0.18,28,12,42.9,9.33,4.0,0.11,0.25,90,100,78,18,15,26,30,1.0,2,3,-1,-0.33,90,100,78,21,12,18,30,2.0,3,2,1,0.33,0,25,31,8,54,20,23,,,0,0,32,25,8,28,29,20,,,0,3,3,270,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,
